MAYV,Species,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,IUCN,Pop_T,BodyMass,HomeRange,X1.1_ActivityCycle,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X21.1_PopulationDensity_n.km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X16.2_LittersPerYear_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Aridity (precip/PET),BodySizeRatio (AdultBodyMass/NeonateBodyMass),RelAgeSexMat (Age at sexual maturity/maximum longevity)
1,Alouatta belzebul,Folivore_frugivore,59,13.3,27.6,NA,NA,NA,NA,NA,VU,D,6.4,11.4375,3,550.38,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,17,NA,7.4,2,NA,NA,NA,1899561.77,0.08,-13.69,-6.8,-34.79,-60.64,-47.71,0,16.73,0,0.12,164.35,248.73,1286.55,1549.83,0.106043889,NA,NA
1,Alouatta caraya,Folivore_frugivore,28.5,58.8,2.7,0.4,NA,NA,NA,9.6,LC,D,5.38,6.9125,3,558.16,1354.15,3,185.92,NA,NA,NA,337.62,1.01,243.6,260.6,80,1276.72,8.9,NA,1,323.16,1.14,1534736.35,-12.1,-28.59,-20.34,-44.44,-65.47,-54.96,0,12.01,1,0.11,116.64,229.01,1193.12,1404.85,0.083026658,0.020644666,5.241050903
0,Alouatta guariba,Folivore_frugivore,46.8,34.2,11.8,NA,NA,NA,NA,7.2,LC,D,5.54,15.065,3,514.53,NA,4,NA,1,0.03,NA,NA,NA,NA,NA,89.09,NA,7.4,2,1,NA,NA,825479.22,-12.66,-29.6,-21.13,-38.58,-54.7,-46.64,5,105.77,12,0.06,133.23,196.32,1225.7,1332.19,0.100008257,NA,NA
0,Alouatta macconnelli,Folivore,NA,75.5,12.6,NA,NA,NA,NA,11.9,LC,NA,6.37,25.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679178.24,8.64,-3.5,2.57,-49.88,-67.51,-58.69,0,2.84,0,0.12,162.09,249.75,1501.28,1695.13,0.095620985,NA,NA
0,Alouatta nigerrima,Folivore_frugivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,6.45,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183994.3,-2.19,-9.07,-5.63,-55.22,-60.61,-57.92,0,1.44,0,0.09,170.18,256.74,1417.52,1594.65,0.106719343,NA,NA
0,Alouatta palliata,Folivore,12.5,63.6,18.2,NA,NA,NA,NA,5.7,LC,NA,6.12,40.45,3,576.35,1382.13,2,185.42,1,0.19,0.31,684.37,1.02,300,318.29,58.99,1578.42,13.1,2,1,495.6,0.8,559554.92,18.71,-4.8,6.95,-76.77,-95.57,-86.17,2,62.18,4,0.13,185.26,237.38,1299.96,1633.87,0.113387234,0.019227748,5.2614
1,Alouatta pigra,Folivore_frugivore,41,45,11,NA,NA,NA,NA,3,EN,D,6.56,11.98,3,566.94,NA,2,185.92,1,0.3,0.46,NA,1.01,240,480,8.53,NA,5.5,2,1,NA,NA,91384.8,21.6,16,18.8,-86.73,-92.43,-89.58,3,16.53,3,0.24,134.13,250.78,1373.84,1580.84,0.084847296,0.013666667,NA
0,Alouatta sara,Folivore_frugivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,D,6.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526742.28,-9.94,-19.49,-14.72,-57.79,-69.22,-63.5,0,3.04,0,0.13,109.48,244.89,1270.73,1488.29,0.073560932,NA,NA
1,Alouatta seniculus,Folivore_frugivore,40,50,NA,NA,NA,NA,NA,10,LC,NA,6.01,70.20666667,3,560.21,1671.7,6,189.9,1,0.1,0.16,507.35,1.42,300,293.42,44.49,1690.22,7.9,2,2,370.04,0.93,2516845.21,12.2,-10.84,0.68,-60.66,-77.13,-68.89,0,23.29,0,0.1,182.34,250.82,1449.76,1574.93,0.115776574,0.020482585,5.634066667
0,Aotus azarae,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,D,1.21,7,1,NA,NA,2,NA,1,NA,NA,365,1,NA,NA,15.94,NA,4.1,2,2,229.69,1.1,663508.32,-9.91,-24.19,-17.05,-57.59,-68.65,-63.12,0,1.25,0,0.14,101.09,246.21,1186.23,1410.79,0.071654888,NA,NA
